id,neighbourhood_cleansed,latitude,longitude,calculated_host_listings_count,price,property_type,room_type,availability_365,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,instant_bookable,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,Standardization_Category,Standardization_Score,Neighborhood_Category,Neighborhood_Impact
1035435731517537689,Élysée,48.8769204,2.3069132,6,,3,2,124,4,1.0,0,1,2,1.0,1.0,1,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1035435824192866875,Élysée,48.8769204,2.3069132,6,,3,2,134,4,1.0,0,1,2,1.0,1.0,1,1,1,5.0,5.0,5.0,5.0,0.75,,,,
1035435827057753930,Élysée,48.8769204,2.3069132,6,,3,2,133,4,1.0,0,1,4,1.0,1.0,1,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1035435925777486610,Élysée,48.87692,2.30691,6,,3,2,135,4,1.0,0,1,2,1.0,1.0,1,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1035435926550603691,Élysée,48.8769204,2.3069132,6,,3,2,138,4,1.0,0,1,2,1.0,1.0,1,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1035436029685290731,Élysée,48.8769204,2.3069132,6,,3,2,120,4,1.0,0,1,2,1.0,1.0,1,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1036769097515599836,Élysée,48.8677436,2.307299,1,,2,3,304,4,1.0,1,1,4,2.0,1.0,2,0,35,4.89,4.8,4.94,5.0,1.68,,,,
1035494887098421006,Élysée,48.87206,2.31456,73,,2,3,14,0,1.0,1,1,4,1.0,1.0,2,1,26,4.5,4.46,4.77,4.96,1.25,,,,
1035260608676609758,Élysée,48.8715362,2.3078916,113,,2,3,268,2,0.75,0,1,2,1.0,1.0,90,1,0,4.82,4.81,4.93,4.97,0.0,,,,
1038293185528734950,Élysée,48.8781044,2.3195019,1,,2,3,0,0,1.0,0,1,4,2.0,1.0,3,0,3,5.0,5.0,5.0,5.0,0.18,,,,
1036026734293910313,Élysée,48.86654601750469,2.3089229688048363,1,,2,3,139,2,1.0,0,0,2,1.0,1.0,9,1,1,5.0,5.0,5.0,5.0,0.07,,,,
1036027015239575544,Élysée,48.8695202,2.3037196,68,,2,3,215,4,0.99,0,1,4,2.0,1.0,30,1,6,4.67,4.33,4.5,4.67,0.35,,,,
1039067948234576204,Élysée,48.87004859855639,2.3053706344582263,2,,2,3,302,4,1.0,1,1,4,1.0,1.0,1,1,123,4.8,4.73,4.91,4.96,6.86,,,,
1038439029696376389,Élysée,48.87121,2.30473,2,,2,3,0,4,1.0,1,1,4,2.0,1.0,2,0,15,4.87,4.87,4.93,4.67,1.0,,,,
1039135363214852772,Élysée,48.87225824367289,2.304116712921473,2,,2,3,307,4,1.0,1,1,4,1.0,1.0,1,0,139,4.83,4.68,4.86,4.96,7.35,,,,
1039257971213108347,Élysée,48.8728355,2.3022865,1,,2,3,105,1,0.0,0,1,2,1.0,1.0,1,0,8,4.13,3.88,4.63,4.75,0.52,,,,
1039775872829879220,Élysée,48.87546,2.30336,1,,2,3,263,0,1.0,0,1,5,2.0,1.0,7,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1041402778528095277,Élysée,48.87318544679823,2.3188471920654186,23,,2,3,0,4,1.0,1,1,7,4.0,1.0,5,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1041419403124899430,Élysée,48.86706,2.30282,1,,2,3,255,2,0.6,0,1,4,2.0,1.0,2,0,15,4.67,4.47,4.73,4.93,0.85,,,,
1039842969340429933,Élysée,48.86713,2.30599,4,,1,2,34,4,1.0,0,1,2,1.0,1.0,2,0,48,4.83,4.85,4.96,4.96,2.36,,,,
1039849322865945351,Élysée,48.86702263869121,2.307744328799594,4,,1,2,33,4,1.0,0,1,2,1.0,1.0,2,0,54,4.91,4.83,5.0,4.96,2.69,,,,
1041777551138643116,Élysée,48.8777907,2.3088683,184,,2,3,297,4,1.0,1,1,2,1.0,1.0,3,1,23,4.87,4.87,4.74,5.0,1.46,,,,
1041838202927751172,Élysée,48.87194,2.32609,1,,2,3,358,0,1.0,0,1,4,2.0,1.0,5,0,0,4.82,4.81,4.93,4.97,0.0,,,,
1043470265526890636,Élysée,48.8783519,2.3010424,2,,2,3,0,0,1.0,1,1,1,1.0,1.0,1,1,74,4.89,4.95,4.99,4.95,3.62,,,,
1044778922265736646,Élysée,48.87480061758889,2.326024005830837,1,,2,3,156,4,1.0,1,1,7,3.0,1.0,3,0,39,4.77,4.72,4.92,4.92,1.89,,,,
1046876062059542149,Élysée,48.8726502,2.3210219,18,,2,3,0,4,1.0,0,1,6,3.0,1.0,1,0,6,5.0,5.0,5.0,5.0,0.44,,,,
